zona,PrecioActual,metros,habitaciones,ascensor,localizacion,planta,baños
barrio-de-salamanca,770000,113,4,S,EXTERIOR,5ª,2
barrio-de-salamanca,1300000,150,3,S,EXTERIOR,6ª,0
barrio-de-salamanca,1200000,133,3,S,INTERIOR,1ª,0
retiro,1299000,166,3,S,EXTERIOR,6ª,0
retiro,4100000,195,3,S,EXTERIOR,7ª,0
chamberi,210000,38,1,N,EXTERIOR,BAJO,1
fuencarral,700000,121,4,S,EXTERIOR,5ª,0
centro,370000,38,2,N,EXTERIOR,3ª,0
puente-de-vallecas,155000,59,2,S,EXTERIOR,BAJO,0
villa-de-vallecas,167700,89,3,S,EXTERIOR,9ª,0
latina,590000,178,3,N,EXTERIOR,BAJO,0
tetuan,530000,86,3,S,EXTERIOR,3ª,0
centro,660000,81,2,S,EXTERIOR,6ª,0
centro,779000,176,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,845000,70,2,N,INTERIOR,1ª,0
moncloa,925000,107,3,S,EXTERIOR,2ª,0
latina,397000,62,1,N,EXTERIOR,BAJO,0
moratalaz,379000,91,3,S,EXTERIOR,4ª,0
usera,225000,54,2,S,EXTERIOR,2ª,0
carabanchel,320000,95,2,S,EXTERIOR,BAJO,0
retiro,275000,80,2,S,INTERIOR,SÓTANO,0
barrio-de-salamanca,890000,65,1,S,EXTERIOR,6ª,1
puente-de-vallecas,275000,122,3,N,EXTERIOR,1ª,0
barrio-de-salamanca,1999000,191,3,S,EXTERIOR,BAJO,0
barrio-de-salamanca,1590000,166,4,S,EXTERIOR,5ª,0
barrio-de-salamanca,3650000,277,4,S,EXTERIOR,2ª,0
tetuan,289000,50,2,S,EXTERIOR,BAJO,0
centro,1150000,110,2,S,EXTERIOR,5ª,0
chamartin,1250000,153,5,S,EXTERIOR,6ª,0
centro,839000,102,2,S,EXTERIOR,8ª,2
tetuan,1950000,209,4,S,EXTERIOR,12ª,0
moratalaz,359000,110,4,S,EXTERIOR,1ª,2
retiro,605000,164,4,S,EXTERIOR,2ª,3
tetuan,220000,47,1,S,EXTERIOR,BAJO,0
villaverde,70250,57,3,N,EXTERIOR,2ª,0
centro,1700000,212,3,S,EXTERIOR,4ª,0
usera,135000,65,2,N,EXTERIOR,5ª,0
puente-de-vallecas,265000,69,3,N,EXTERIOR,4ª,0
chamartin,785900,107,3,S,EXTERIOR,1ª,2
barrio-de-salamanca,205000,32,1,N,INTERIOR,BAJO,0
moratalaz,175000,62,2,N,EXTERIOR,BAJO,0
centro,549000,71,1,S,EXTERIOR,4ª,1
centro,340000,45,2,N,INTERIOR,1ª,1
villa-de-vallecas,235000,87,1,S,EXTERIOR,4ª,0
villaverde,83000,50,2,N,EXTERIOR,1ª,0
chamartin,1820000,314,5,S,EXTERIOR,2ª,0
chamartin,1650000,230,4,S,EXTERIOR,1ª,0
fuencarral,290000,103,3,N,EXTERIOR,3ª,1
puente-de-vallecas,280000,85,3,S,EXTERIOR,3ª,2
moncloa,720000,139,2,S,EXTERIOR,2ª,0
chamartin,850000,68,1,S,INTERIOR,2ª,0
barrio-de-salamanca,1000000,124,3,S,EXTERIOR,4ª,2
puente-de-vallecas,245000,100,3,S,EXTERIOR,2ª,2
hortaleza,230000,75,2,N,EXTERIOR,4ª,0
latina,440200,112,3,S,EXTERIOR,1ª,0
barrio-de-salamanca,1530000,175,3,S,INTERIOR,2ª,0
chamartin,2100000,280,4,S,EXTERIOR,2ª,0
villa-de-vallecas,478100,102,3,S,EXTERIOR,1ª,0
villa-de-vallecas,460000,159,4,S,EXTERIOR,2ª,0
carabanchel,160000,45,1,S,EXTERIOR,BAJO,0
centro,2100000,90,4,S,EXTERIOR,3ª,0
chamberi,1164900,180,4,S,EXTERIOR,1ª,3
chamberi,650000,75,2,S,EXTERIOR,5ª,0
barrio-de-salamanca,1095000,86,2,S,EXTERIOR,5ª,0
arganzuela,274990,57,2,S,INTERIOR,1ª,0
centro,268900,74,2,S,EXTERIOR,SÓTANO,0
chamartin,2990000,320,4,S,EXTERIOR,4ª,0
chamartin,790000,96,1,N,EXTERIOR,2ª,0
centro,495000,87,2,S,INTERIOR,5ª,0
barrio-de-salamanca,2259000,197,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,395000,50,2,S,INTERIOR,BAJO,0
tetuan,214900,52,2,N,EXTERIOR,2ª,0
barrio-de-salamanca,410000,81,3,S,EXTERIOR,SÓTANO,1
barrio-de-salamanca,1500000,120,2,S,INTERIOR,3ª,2
ciudad-lineal,663000,146,4,S,EXTERIOR,3ª,3
barrio-de-salamanca,1275000,106,3,S,EXTERIOR,1ª,0
retiro,1679000,133,2,S,EXTERIOR,4ª,0
centro,248000,37,1,S,INTERIOR,2ª,1
san-blas,190000,55,1,S,EXTERIOR,4ª,0
barrio-de-salamanca,2400000,165,3,S,EXTERIOR,3ª,0
ciudad-lineal,353000,67,2,S,EXTERIOR,BAJO,0
centro,548000,119,2,S,EXTERIOR,1ª,0
centro,820000,114,2,S,EXTERIOR,2ª,0
hortaleza,253500,72,3,S,EXTERIOR,1ª,0
centro,1650000,151,4,S,EXTERIOR,3ª,0
san-blas,360000,120,2,S,EXTERIOR,2ª,0
tetuan,740000,120,4,S,EXTERIOR,6ª,0
ciudad-lineal,420000,140,5,N,EXTERIOR,3ª,2
villaverde,100000,44,1,N,EXTERIOR,BAJO,0
latina,369000,109,4,S,EXTERIOR,7ª,0
centro,375000,66,1,N,EXTERIOR,1ª,1
carabanchel,215000,52,1,N,EXTERIOR,2ª,0
barrio-de-salamanca,380000,80,3,S,EXTERIOR,BAJO,0
moratalaz,315000,100,4,N,EXTERIOR,BAJO,2
centro,565000,84,3,S,EXTERIOR,1ª,0
hortaleza,152000,84,3,N,EXTERIOR,3ª,0
arganzuela,189990,45,1,N,EXTERIOR,BAJO,0
san-blas,230000,85,3,N,EXTERIOR,3ª,0
barrio-de-salamanca,899000,62,1,S,EXTERIOR,3ª,0
carabanchel,295000,93,3,S,EXTERIOR,1ª,1
centro,1420000,107,2,S,EXTERIOR,8ª,0
vicalvaro,360000,110,3,S,EXTERIOR,1ª,2
moratalaz,232000,82,3,S,EXTERIOR,1ª,0
barrio-de-salamanca,4650000,293,4,N,EXTERIOR,5ª,0
chamartin,1350000,100,3,S,EXTERIOR,7ª,0
barrio-de-salamanca,1349000,120,2,S,INTERIOR,1ª,0
centro,1150000,138,3,S,EXTERIOR,3ª,0
centro,1675000,220,3,S,EXTERIOR,2ª,0
tetuan,349970,69,2,S,EXTERIOR,2ª,0
centro,725000,97,3,N,EXTERIOR,5ª,2
chamartin,900000,110,2,S,EXTERIOR,2ª,0
tetuan,510000,53,1,S,EXTERIOR,4ª,0
hortaleza,445000,85,1,S,EXTERIOR,5ª,0
barajas,538000,110,2,S,EXTERIOR,4ª,2
centro,498000,69,2,S,EXTERIOR,3ª,1
chamberi,1150000,100,2,S,EXTERIOR,6ª,0
centro,480000,110,3,N,EXTERIOR,3ª,0
tetuan,225000,55,2,N,EXTERIOR,1ª,0
usera,235750,72,2,S,EXTERIOR,BAJO,2
centro,596000,76,1,S,INTERIOR,3ª,0
hortaleza,553000,87,2,S,EXTERIOR,1ª,0
barrio-de-salamanca,1650000,153,2,S,EXTERIOR,4ª,0
barrio-de-salamanca,2259000,197,3,S,EXTERIOR,3ª,0
centro,899000,199,5,N,EXTERIOR,1ª,0
centro,875000,159,3,S,EXTERIOR,1ª,0
hortaleza,300000,109,4,S,EXTERIOR,1ª,0
barrio-de-salamanca,1769000,162,2,S,EXTERIOR,6ª,0
chamberi,1680000,186,3,S,EXTERIOR,3ª,0
vicalvaro,375000,94,3,S,EXTERIOR,BAJO,0
barrio-de-salamanca,2800000,281,4,S,EXTERIOR,ENTREPLANTA,0
fuencarral,269000,84,3,N,EXTERIOR,4ª,0
tetuan,209000,52,1,S,EXTERIOR,BAJO,0
moncloa,1335000,195,3,S,EXTERIOR,2ª,0
fuencarral,365000,70,2,S,EXTERIOR,3ª,0
tetuan,375000,72,2,S,EXTERIOR,2ª,0
chamartin,3500000,310,5,S,EXTERIOR,1ª,5
centro,460000,85,2,S,EXTERIOR,2ª,2
barrio-de-salamanca,1489950,137,3,S,EXTERIOR,3ª,0
chamberi,7500000,697,6,S,EXTERIOR,6ª,0
